Ronda 		Salida esperada 	Salida obtenida
	1 		10.34 				14.12
	2 		15.42 				30.53
	3 		13.62 				24.62
	4 		18.02 				33.59
	5 		20.73 				29.01
	6 		29.55 				33.01
	7 		32.66 				27.2
	8 		38.5 				30.71
	9 		79.3 				62.78
	10 		39.06 				31.61
	11 		24.44 				40.51
	12 		21.16 				24.51
	13 		59.76 				48.0
	14 		39.6 				31.34
	15 		14.5 				18.44
	16 		14.31 				22.36
	17 		81.75 				47.77
	18 		29.72 				31.47
	19 		57.92 				50.81
	20 		29.93 				25.27
	21 		6.28 				15.82
	22 		8.37 				14.18
	23 		44.03 				51.09
	24 		53.77 				36.05
	25 		60.32 				42.63
	26 		29.07 				35.0
	27 		29.79 				57.68
	28 		17.34 				16.78
	29 		38.2 				32.6
	30 		39.0 				44.01
	31 		10.79 				15.61
	32 		24.28 				19.41
	33 		24.1 				46.5
	34 		43.06 				33.69
	35 		7.72 				11.71
	36 		51.43 				39.56
	37 		6.47 				12.26
	38 		15.53 				25.69
	39 		33.94 				38.42
	40 		27.68 				35.96
	41 		59.3 				44.97
	42 		70.7 				80.83
	43 		65.2 				67.01
	44 		31.65 				27.05
	45 		60.29 				59.25
	46 		52.5 				39.18
	47 		57.23 				54.07
	48 		23.52 				26.73
	49 		6.94 				16.34
	50 		32.04 				24.54
	51 		40.29 				50.39
	52 		53.3 				50.86
	53 		27.53 				22.3
	54 		15.57 				27.23
	55 		31.45 				25.29
	56 		23.35 				51.06
	57 		44.7 				65.26
	58 		30.23 				25.45
	59 		17.96 				16.77
	60 		34.56 				30.81
	61 		69.84 				53.17
	62 		22.93 				25.71
	63 		37.17 				31.88
	64 		33.04 				38.96
	65 		52.01 				51.56
	66 		62.05 				50.78
	67 		44.3 				64.34
	68 		66.9 				73.07
	69 		42.55 				33.73
	70 		10.09 				16.32
	71 		25.08 				57.04
	72 		27.83 				23.23
	73 		40.39 				37.43
	74 		37.91 				33.07
	75 		57.6 				60.28
	76 		43.7 				71.21
	77 		15.09 				27.46
	78 		13.66 				20.11
	79 		34.49 				41.01
	80 		7.4 				28.03
	81 		26.05 				30.9
	82 		20.87 				19.05
	83 		54.6 				44.46
	84 		49.99 				40.96
	85 		52.82 				45.18
	86 		38.07 				31.09
	87 		71.62 				68.44
	88 		32.85 				42.65
	89 		25.62 				23.1
	90 		67.31 				49.73
	91 		24.48 				22.85
	92 		16.5 				22.88
	93 		44.64 				35.08
	94 		32.11 				49.89
	95 		14.84 				19.98
	96 		53.72 				37.47
	97 		51.96 				39.35
	98 		6.81 				19.34
	99 		14.14 				33.74
	100 		32.88 				28.83
	101 		24.9 				25.03
	102 		40.93 				38.41
	103 		21.75 				19.79
	104 		23.74 				24.7
	105 		25.1 				28.98
	106 		45.9 				49.2
	107 		61.46 				54.45
	108 		34.57 				37.21
	109 		46.23 				41.49
	110 		38.6 				34.94
	111 		37.43 				34.38
	112 		35.3 				51.94
	113 		23.74 				24.61
	114 		66.78 				54.44
	115 		39.3 				53.71
	116 		19.99 				22.91
	117 		25.12 				47.92
	118 		39.61 				33.89
	119 		39.15 				34.55
	120 		40.6 				62.37
	121 		13.52 				21.81
	122 		31.88 				27.94
	123 		40.56 				36.68
	124 		51.06 				44.38
	125 		29.22 				26.39
	126 		31.35 				26.82
	127 		33.56 				36.38
	128 		8.2 				15.14
	129 		39.0 				48.19
	130 		16.26 				22.71
	131 		79.3 				62.78
	132 		53.52 				39.72
	133 		18.13 				21.86
	134 		66.95 				49.35
	135 		33.73 				28.78
	136 		33.3 				37.28
	137 		47.71 				38.76
	138 		27.22 				25.33
	139 		33.8 				33.23
	140 		9.74 				19.16
	141 		24.4 				49.69
	142 		22.84 				21.94
	143 		47.74 				39.71
	144 		41.68 				35.38
	145 		48.99 				38.18
	146 		33.61 				27.36
	147 		26.91 				30.63
	148 		50.95 				38.72
	149 		71.3 				55.02
	150 		8.49 				22.25
	151 		64.02 				45.41
	152 		60.29 				59.25
	153 		11.98 				23.04
	154 		20.77 				20.01
	155 		48.97 				45.02
@Numero de datos: 155
